Questions,Responses,Question number,Transcripts
whose interests are helped or hurt by laboratory diagnostics happening in the public vs. the private sector? ,"with attitude of shaking the head , i can say there should be no interests helped or hurt, there should be interests in terms of which kind of capacity of diagnostics, which is being brought forward, but we know that income in our hospitals come mostly from our laboratories, and many hospitals might think that a private partner is taking a way their own interests. it is within the government power to negotiate in a way that, if we bring in a partner how will the hospitals survive, that must be thought through as they negotiate their contract.",38,rwa-int-pe-2021-10-26-fi
who benefits the most from a joint public-private venture in laboratory diagnostics?,"he seems tired , a ppp should be a win- win.",39,rwa-int-pe-2021-10-26-fi
who is potentially threatened by the ppp or contract modalities arrangement and why?,"with attitude of confusion , perhaps people who are in the business procurement might be hurt because the power of procuring is no longer in their power but, no more they should not be anyone hurt if we do good as a government.",40,rwa-int-pe-2021-10-26-fi
how does the structure of the ahdp project itself affect dynamics at the country level? ,it should be a boost as it is a financial boost to help government deal with private sector.,41,rwa-int-pe-2021-10-26-fi
to what degree is there cross-country learning within the ahdp project? ,"with attitude of smiling , we hope then it will roll out and everyone will learn better how ppp works and their benefits.",42,rwa-int-pe-2021-10-26-fi
how interested are private partners in participating in the ppp or contract modalities? ,"with attitude of happiness , with ahdp every partner should be happy in partnering with the government, they are doing good job, they are bringing standards to the quality ofcare , and they are supported and guaranteed by financial private people bmgf, chai and eibto make that happen.",43,rwa-int-pe-2021-10-26-fi
what are the biggest incentives for private partners to participate in the ppp or contract modalities in country? ,"with the attitude of smiling , because the government is the biggest market ever, if their honor the private sector, is good.",44,rwa-int-pe-2021-10-26-fi
what are the biggest drawbacks for private partners to participate in the ppp or contract modalities,"with the attitude of assuring , the only drawback it is when the government is not honoring it own contract, so which means if there is no business, then partner will fall.",45,rwa-int-pe-2021-10-26-fi
do you think that private partners working in laboratory diagnostics in-country have the capacity to participate and deliver on the ppp or contract modalities? why/why not? ,"with attitude of confusion , i hope so whenever they will be involved. we cannot choose a partner who cannot deliver.",46,rwa-int-pe-2021-10-26-fi
to what extent in the ppp or contract modalities process have scale-up and sustainability influenced how the ppp / contract modalities is/are carried out? ,"with the attitude of happiness , the outcome of any ppp is to see the project sustainable, when we talk about building operating and transfer they should transfer to the government of rwanda a viable project and to have taken consented years to evaluate either annually or biannually the partnership so that you see that the drawbacks or the benefits of that kind of the project. we hope that the ppp is aiming at bringing to the government a financial viable project, and a sustainable project where that the government has learned how to do business in diagnostics.",47,rwa-int-pe-2021-10-26-fi
which have been the key topics that have been discussed around scale-up and sustainability?,"with the attitude of happiness , all evaluation should aim at bringing innovations and newness into the whole system.",48,rwa-int-pe-2021-10-26-fi
what are the plans in place to support public sector financing of diagnostics in the future? ,"with the attitude of convincing , the government has to invest as those investments attract new partners to keep up the partnership.",49,rwa-int-pe-2021-10-26-fi
which different sources of funding are expected to be used for financing diagnostics? ,actually the sales should be constructed in a way that is a sale sustainable. ,50,rwa-int-pe-2021-10-26-fi
are these financing plans sustainable? why/why not? ,hopefully.,51,rwa-int-pe-2021-10-26-fi
is there anything else you would like to discuss about the ppp or contract modalities that we have not talked about? ,so far nothing.,52,rwa-int-pe-2021-10-26-fi
"please, can you describe your involvement in the public private partnership process under the african health diagnostic platform in rwanda?","thank you very much. i was very much involved in the, ppp between,my employer and the government of rwanda, but that one was not introduced,in the framework of the ahdp because it's an initiative team that was initiated between the two partners, but it was not led by or done through, the ahdp so if am to answer,in relation to what was doneunder ahdp, there is nothing so far but in terms of what my company did or my employer with the government of rwanda,i can demonstrate my involvement. thank you.",1,rwa_int_pe_2021_11_29
"who is your employer? okay so you, you are saying that you are not familiar with african health diagnostic platform, or you have heard about it.","my employer is abbott, i've heard about it and read about it, but the ppp i was involved in was not under ahdp",2,rwa_int_pe_2021_11_29
what was the process of negotiation of the ppp you are talking about?,"yeah, thank you very much abbott has had an idea of partnering with the government of rwanda to improve, laboratory services and came up with a proposal of better services and a state of the arts instruments to improve diagnostic services in rwandan public laboratories. then, once the proposal was received by the government of rwanda, the cabinet indorsed that idea and the sector ministry, which is ministry of health, go into an engagement with abbott to initiate that partnership with the earlier stage doing the feasibility study as per the ppp law. so, that's how the negotiation initiated actually departed from the proposal abbott did to the government and then they sat together design the implementation process, which had to initiate with the feasibility study. and during that discussion they outlined, every partyâ€™s responsibility in order to implement that feasibility study.",3,rwa_int_pe_2021_11_29
"if i understood very well so abbott took initiative to propose it to the government of rwanda a model of ppp, yes?","abbott proposed services, then the government had to abide by the laws. the government of rwanda has a ppp law in place that would govern that partnership. so, it's not abbott that introduced a different mechanism of partnering with the government of rwanda, rather they propose their services and they were to be governed by the ppp law, which is in place in rwanda.",4,rwa_int_pe_2021_11_29
for the abbott to propose the service to the government of rwanda how did they know what was in the need? on which basis abbott advanced its idea to propose the services?,"abbott like any other pharmaceutical company or public health company does its market research and it works in so many countries, all over the world. so, some of the services that will need platforms utilization includes hiv and some other testing services. so, abbott new that in rwanda, there is definitely a need. so, all they wanted was to turn that need into a demand because apple didn't have such machines before. so, they wanted to get into that new market and they wanted to get in differently because in some other, so many other countries, abbott has not done it in a ppp model ppp, they do it in a supply and a customer relationship, not a ppp as such. so, it was a new thing. they wanted to start with rwanda, which is actually a new market. and that's how they come up with that idea. and they were allowed to conduct their baseline assessments so that they can, come up with a proposal based on the facts, based on the data that are in place.",5,rwa_int_pe_2021_11_29
"thank you very much for this. and we are really interested to know about this experience of abbott, because we can base on it maybe for the future development. ","i was saying that the random law is very clear about the ppp when there is a solicitation from the government to a private partner for some services for partnership, then they don't go through this feasibility or proof of concepts. so given that we've gone through the feasibility study, it's a sign that it's the supplier or the private company that approached fast, the government of rwanda. so, that is an official information that is available. it doesn't mean, probably they didn't talk to some officials, probably they talked, but they were not solicited by the government. ",6,rwa_int_pe_2021_11_29
"this is very good, so how abbott come in to negotiate with rwanda to contract with the government? how the negotiations went on? ","yeah thank you very much if i understood properly, i think negotiation means discussing the terms, how do you render the services and, at what cost, and thenactually if i take the two parameters, the cost and the services for the package abbotttry to bring in, i meaninnovations that would solve many challenges that are faced in rwanda, like for the supply chain, for example, abbottbrought in solutions that would solve the issues of expiries and stock outs and, under stocks in laboratories. ",7,rwa_int_pe_2021_11_29
"what was the sticking point around these negotiations, was it accepted as proposed? ","yeah, like from the side of the government of rwanda, you can see that one of not accepting a higher price, this is the point they could not give up on, maybe that one is the one i can mention. the government didn't want to spend more than it used to spend on similar services, even though they were interested of course, with the additional services, but they didn't want to spend more. ",8,rwa_int_pe_2021_11_29
how did you solve to include the additional services and maintain the price? ,"yeah, there is a lot that is done in terms of price setting. of course, you look at so many parameters and you may cut operational costs where you can, but abbott was not losing while reducing the price because there are some other strategies of keeping the costs because the price it has so many dimensions. there are some other areas where we can, cut like operational costs or anything. so, by accepting that price, abbott found a way of not losing or keeping the business viable, ",9,rwa_int_pe_2021_11_29
did the services continue to be offered as proposed initially or changed according to the price?,"no, there's nothing that was changed actually, because the price reduced.",10,rwa_int_pe_2021_11_29
"yeah. thank you very much. so, who was involved in this initial design of the ppp negotiation? ","of course, there are two parties, abbott and the government of rwanda. in the government of rwanda, there are so many governmental institutions, especially the sector ministry, the ministry of health, and ministry of finance as this is somehow related to finance and economic development. and then rdb that is in charge of businesses and, ppp as well. there is also, i think rpp is under the ministry of finance and economic planning. so, there are hospitals managers were also represented because those instruments are to be installed in hospitals that is on the side of the government. they formed a forum composed of representatives from all those institutions that was called a steering committee and that is per the ppp law, in addition to the two parties abbott and the government. there was another partner to the government of rwanda, which is chai which was a kind of supporting the government of rwanda, providing technical assistance and logistical assistance for all the activities related to implementing the ppp, starting with the feasibility study to take place smoothly. so, the three chai, government of rwanda and abbott are the parties that were in place to make sure that the ppp takes place. ",11,rwa_int_pe_2021_11_29
that's very good does rssb were involved? ,"no, rssb was not involved.",12,rwa_int_pe_2021_11_29
"as you are familiar with the health system in rwanda, so which hospitals were involved how health sectors represented?","yeah, actually at the start 13 hospitals were selected and, there are at all the levels that are referral hospitals that are provincial hospitals and district hospitals. so actually, it was like a geographical representation, not only at the certain level of the hospitals but at different areas of the country, north, west, south and east with kigali city all are represented. ",13,rwa_int_pe_2021_11_29
who was leading the negotiation on the side of government of rwanda?,"there is a steering committee, there is a steering committee which was chaired by one of the government officials then, it was reporting, of course to the ministry. actually, it was not a one ministry activity it was involving both, i mean the three big institutions, ministry of finance, ministry of health and rdb, so they had put in place a committee to oversee all the activities, which are this steering committee. it was chaired by an official from rbc.",14,rwa_int_pe_2021_11_29
"if i understood you well, in technical assistant of chai they conducted the feasibility study, and abbott also conducted feasibility study, so were the two separate feasibility studies or one combined. so, can you expand a little bit more on this? ","what abbott conducted was to actually try to have data to base on so that they can come up with a proposal, that one, they did it separately. it was not a joint activity. it's just for them to have access to information, to know how many tests do you have, how much time does it take for the reagents to be delivered so that they may come up with solution to problems they understand better that one is like a baseline for them to be able to provide an offer. but later on, after the engagement was signed between the ministry and an abbott, then the feasibility study for it to be evaluated, chai came in and facilitated the coordination and the evaluation. of course, the evaluation was joined between the minister of health and abbott and chai and rbc, of course, to make sure they collect data about the impact that is being brought by, the new ppp. ",15,rwa_int_pe_2021_11_29
so how did the actors involved in this design process changed between the initial design and the final agreement so how it went on? ,"yeah, thank you very much there is a question you raised earlier knowing if rssb was involved as part of these discussions. rssb was not and actually, if you look at the way services are rendered in hospitals, they tie what they deliver to the minimum package that is an official or guiding a list of services and prices they need to base on. so, in some level, like in provincial, i think, and district hospitals, there are some of the services that were to be done using the abbott technologies, but they were not part of the minimum package of that level. so that means there is no way you can prove the efficiency when service is not being done. like that one is one of the challenges that made the feasibility study not really a success because, if you have a specialist in a district hospital that specialist cannot request a certain lab test, certain exam, because it's not going to be paid by the insurance, the public insurance organization. so that is the major challenge that was faced. and actually, there are recent discussions where those machines can be moved from where they are while the issue of the minimum package and the tariff in the public hospitals is not yet revised and make it official to include those tests that were not there before.",16,rwa_int_pe_2021_11_29
did you bring these challenges on the table of negotiation?,"yeah, they were brought on the table. they were discussed with the ministry, but it's not something you solve immediately it's it takes some time because it doesn't depend on one institution it takes to involve the social security the rssb, which manages the insurance. and the solution was not to come in a day or two. that's why one of the options were done were to move the machines to sites that we learn that allowed to carry out those tests. for example, in referral hospitals, we didn't face any problem of that kind, but in district and i think provincial as well, because provincials don't have the full package of services. so that is the major challenge that made with us reverse or look for an alternative way. ",17,rwa_int_pe_2021_11_29
so how did the actors involved in the design process change between the initial design and the final agreement?,"actually, it's as if this question assumes the final agreement was reached, but it's not yet ",18,rwa_int_pe_2021_11_29
"so, it is still under negotiation?","yes. there are agreements on what is being done and the price and the services that are being rendered by abbott that is a form of agreement, but it's not a definitive public private partnership. ",19,rwa_int_pe_2021_11_29
"but the actors who were in the negotiation team are still the same, or they have been changed? ","yeah, because it took longer it took very long, longer than planned because of those challenges.some people have been moving, of course there is a turnover in every institution, but in terms of institutions and representation, there is no institution that was withdrawn or removed from this process. only individuals have been moving, and this is something that happens continuously in any organization. so, teams have changed and so many people have moved away from where they used to be like, the chair of the steering committee is no longer there. so, there are so many changes that took place. ",20,rwa_int_pe_2021_11_29
how did this change affected the process and the progress?,"yeah, but also many other big kinds of strong factor came in place which i think may lead us believe that they are the only factors because those are the factors. we couldn't observe the effect since they're not the only ones they're not alone for example, because of covid some of the activities were stopped. so, people tend to believe that everything that happened or that did not happen was due to covid probably the absence of some people would impact, but we can't account about it since covid, if everyone was there, covid, wouldn't allow that we progress. so, the big animal we see is covid than seeing people moving and affecting the progress of the activities. ",21,rwa_int_pe_2021_11_29
so how covid-19 affected the process? ,"yes, especially the evaluation, the evaluation of the feasibility study. ",22,rwa_int_pe_2021_11_29
"so, in this interval have there been any champions supporting the ppp?","so, we got separate individuals to institutions. of course, there are champions, there are people who were presenting their respective institutions in this process. and they're the ones who champion this ppp. ",23,rwa_int_pe_2021_11_29
have there been any actor trying to propose opposite direction from the main actors working in the ppp? ,"no, there was not any actors proposing to reverse or change anything, ",24,rwa_int_pe_2021_11_29
"so, who or which institution have been ultimately responsible for approving the ppp design? ","actually, it's not a one institution responsibility. it was done jointly between different sectors as well, because if we had a rdb and a minister of finance, and there is no single institution that would decide on its own it's a joint activity. of course, there are phases that are there for approving the process but it doesn't depend on one institution. they aligned ministry, the sector ministry, which is ministry of health was managing it on day-to-day basis. but they could not resolve everything before consulting or submitting to the steering committee or having the review by rdb and ministry of finance. because as per ppp law, it's like a in the procurement process, there is no single position or person who can decide all the steps. it goes through different hands. so that it can ensure review and transparency. so that's why we cannot say there is only one that will be like the main major one or the one who would influence separately. ",25,rwa_int_pe_2021_11_29
"so, what option were or still being considered when designing the ppp model?","thank you very much, if i may explain the way i understand it first of all abbott proposed the placement of instruments in different hospitals. so, placement in what we call reagent agreement plan whereby the machine is not purchased by the customer but placed by the manufacturer or the supplier and the business will turn around the purchase of reagents. and actually, the maintenance is guaranteed by the supplier. so that's what is still going on abbott placed instruments and for those instruments whereby the tests done those point of care, if i may say so, like chemistry, hematology, there is no referral. the machine does perform the test for that facility where it is installed, because those are tests that are required in emergency or immediately the decision needs to be made for the patient.",26,rwa_int_pe_2021_11_29
"thank you very much. does abbott selected the health facilities, which it would want to operate in, or the health facilities were assigned by the government?","that one, i cannot give an exact answer but it was agreed upon between the two parties. i don't know who brought the list first, or if abbot wished to go in, a, b, c, d, but i'm not sure they would come with a choice, but it may have been, guided by the ministry, and then they came up with an agreement to operate in the 13 facilities.",27,rwa_int_pe_2021_11_29
which criteria were based on to select the hospitals you are working in?,"yes, the major criteria was let's say geographical because the hospitals that were selected, most of them are satellite labs in across near the borders. so, you can see all the corners of the country were represented. another factor, which, i'm not certain about may be the volume for the two parties to find an adequate sample to prove the concept they needed, adequate, amount of testimonial so that they can, demonstrate if the efficiency or the viability of that business.",28,rwa_int_pe_2021_11_29
how appropriate do you find the design of this model of abbott to the local context?,"it doesn't match exactly the situation in country, but it can be adapted. for example, the bottoms that were observed, there are things that can be worked on and things can move very well for the example i gave is about the prices in the facilities, if the prices or the tariff depends on the minimum package, i think the government can work on that and, come up with a solution because, what we call minimum is not actually the, the limit minimum is the, at least what, you're supposed to do. it's not the maximum you need to provide a service. so, if that interpretation is converted into a decision to allow the facilities, to submit the bills with those extra services, it's an easy thing to adapt. so, the model is fine with rwanda, but the, the small bottoms can be addressed.i'm not sure there is a perfect model that can come without any need for adapting or adjusting. yeah, but it doesn't mean it's not adapted to rwanda.",29,rwa_int_pe_2021_11_29
"can you insist on that, elaborate a little bit more on that?","yeah, actually the ppp which is between one supplier and the government. it's not pleasant to other suppliers who are also interested in the market. that is one factor on business side. ",30,rwa_int_pe_2021_11_29
"so, thank you so much. what you would recommend as the process to have a buy-in for all stakeholders?","example, i'm not the one to decide or propose, but i think, if abbott won the contract in the government of rwanda, the way it is stated that they will be the ones to supply and actually to manage the labs. that's how the statement of the cabinet resolution says so that would mean if they there were to be exclusive, some other suppliers may not, be in the market anymore. so, if they can still sustain all the services well, and good, the population is going to be served, but the side of being disruptive is on that the competition, so that's it and that is a perception of course, that many other suppliers may have. and i, i think that's all i can say, but in case of not wanting to rely on only one supplier, maybe the government can decide to combine all to make sure they have strong commitment with that supplier so that they prevent any potential of the interruption of the services",31,rwa_int_pe_2021_11_29
what would you recommend because you know in rwanda because you are familiar with the local context?,"yeah, thank you very much, actually i think for you to be able to win the buying in of those stakeholders you need to make sure you provide the proposal or a model that really meets what they care about. if for example, their biggest concern is about accessibility quality of the diagnostic services. then that's what you need to bring on the table, as a solution that would solve the most pricing challenges they're facing. if in another market, their problem is about efficiency or financial accessibility. then you need to adapt the model to the problems its context is facing.",32,rwa_int_pe_2021_11_29
what would be an ideal ppp design accommodate the needs of priority population?,"yeah, in rwanda, for example in terms of geographical accessibility, and in terms of the population size, we don't need to multiply giant equipmentâ€™s in all the facilities we rather need to create and strengthen the hubs. you see, for example, if you have a population in kigali, that's not, beyond two, 2.5 million, we don't need to have five to seven big laboratories with big equipmentâ€™s. you can have like two or three few sites that do the specialized testing you see, and then for the remote facilities, maybe you can place, like 10 points of care, to make sure at least the screening is done there. and the referral is done for only those that need confirmation. but in rwanda, we don't need to multiply big platform, diagnostic platforms in all the facilities, except those that need immediate results by the clinicians.",33,rwa_int_pe_2021_11_29
"current design you are working with in abbott, is different from this ideal design you are talking about if you compare?","yeah actually, i think to make sure all the levels, all the groups of the population are served. the ppp model would take into account a holistic healthcare delivery. holistic means from the community level to referral and acute and sophisticated care. so that means deploying adequate or appropriate resources, depending on the level. and the needs of the population. of course, some of those services will be a bit centralized and found to the specialized facility with facilities, with equipment and staff that is able to utilize that. but for example, in the community they need let's say for maternal and child health the primary healthcare that is delivered to those two groups, it doesn't require sophisticated equipment, but it needs to be accessible and near everyone in the community level, for example, at the health post level.",34,rwa_int_pe_2021_11_29
"so, what would be necessary to get to the ppp closer to the ideal vision? so compared to your ideal model and what is being done, so what will be required to get closer to that?","yeah. if i compare actually the proposal that abbott submitted to the government of rwanda, it didn't consolidate all the solutions that abbott have, for example in the later on, after the ppp actually had initiated abbot also brought in a support to the construction of community. i mean those community facilities are called health post. the health post and equipped with small kits a bundle of tests that are needed, the most in the community. for example, if those were incorporated in the, in the package that was submitted in the ppp the value and the impact it would have to the community in general would be greater than only deploying large, sophisticated equipment. so of course, they introduced that, but it's not part of the ppp that is being the discussed.",35,rwa_int_pe_2021_11_29
