Questions,Responses,Question number,Transcripts
how about public facility laboratory management capacity at the implementation,partner would implemented contract within government facilities government bringing partnership infrastructures facility level equipment staffing terms managing meant partner take managements labs activity level lab partner negotiate government bringing back government beyond usual services offered gor hospitals,15,rwa-int-pe-2021-10-26-fi
how appropriate is the design to the local context?,sureness attitude look needs capacity way public health able alone deliver quality health care diagnostics private partner willing take bring worldwide standards diagnostics power capacity advantage government see happening actually partnering deliver quality care think design designed best could get hopefully future see many ppps signed contracted health care delivery,16,rwa-int-pe-2021-10-26-fi
how does the ppp design / contract modalities accommodate the needs of the priority populations?,canâ€™t accommodate ppp nothing delivering services populations simple,17,rwa-int-pe-2021-10-26-fi
how well does the ppp design / contract modalities address key considerations to improve access of laboratory diagnostics? ,sadness attitude capacity diagnostics still low hospitals public private rwanda need people knowhow help pinch bring capacity capability people lab technicians deliver level want look forward see rwanda becoming health hub,18,rwa-int-pe-2021-10-26-fi
which consideration is best served by the current design? why?,motto ministry health make sure health care accessible geographically financially ppp considered deliver points make health care diagnostics services accessible make affordable partnership ifany ppp delivering,19,rwa-int-pe-2021-10-26-fi
which consideration is currently receiving the least attention in the current design? why? ,attitude confusion say availability services yet delivered comprehensively hospitals,20,rwa-int-pe-2021-10-26-fi
what are the perceived costs and benefits of pursuing a ppp or contract modalities for laboratory diagnostics at this time? ,sureness attitude ppp existed like yesterday way government able deliver quality services people happen government take whole burden diagnostics training informing people think big government carry priorities sectors,21,rwa-int-pe-2021-10-26-fi
"ahdp is providing technical support and facilitating financing for this ppp / contract modalities, how did the availability of this support affect the ppp design or contract modalities? ",sureness attitude donâ€™t think ahdp yet started delivering support rwanda current,22,rwa-int-pe-2021-10-26-fi
what are current features of the ppp design / contract modalities that would not be possible without the financial instruments facilitated by ahdp? ,attitude confusion think partnership accountable contract unless availability finance support government ahdp partner needs guarantee investments think ahdp guarantee service delivered paid contract says,23,rwa-int-pe-2021-10-26-fi
"how supportive is the existing policy, legal and regulatory framework for ppps / contract modalities?",sureness happy face attitude rwanda open business partnership save rwandan population policy open law harboring would bent make surethe partnership happens existence 2016 law everything terms law mean bring forth partnership private sector,24,rwa-int-pe-2021-10-26-fi
how flexible is the ppp or contract modalities to changes in government or government priorities? ,ppp canâ€™t accommodated unless aligned government priorities even private sectors come partnership government want show aligned government priorities,25,rwa-int-pe-2021-10-26-fi
"historically, how have public and private sectors for health interacted? ",attitude shaking head clue history,26,rwa-int-pe-2021-10-26-fi
"what other, earlier experiences or projects have there been in-country that can provide lessons for ahdp?",attitude smiling many ppps rwanda different areas bugesera airport built ppp dialysis done people ppp hospitals ppps inspire ahdp,27,rwa-int-pe-2021-10-26-fi
how do the health system governance arrangements affect the ppp design or contract modalities and pre-tender process? ,attitude confusion perhaps lacking moh taking lead defining theirneeds project partners know real needs thebook containing needs ministry health implemented partnership project aligned partner know go go,28,rwa-int-pe-2021-10-26-fi
who is accountable for the success of the ppp and what are the important points that define the success? and to whom are they accountable?,sureness attitude diagnostics meant bring diagnostics well class medical diagnostics deliver partnership successful secondly meant delivering system makes rwanda shine well stage third bringing capacity technicians deliver quality diagnostics care wish four equip laboratories equipment allow happen,29,rwa-int-pe-2021-10-26-fi
what has been the historic investment and interest from government in laboratory diagnostics?,attitude happiness government rwanda sank millions dollars diagnostics sectors needs also national wide bigger money perhaps need partnerships,30,rwa-int-pe-2021-10-26-fi
how does improvement in laboratory diagnostics align with government priorities for the health sector?,attitude shaking head donâ€™t know say constructing equipping laboratories bring diagnostics services close populations qualify standard quality services want deliver investment equipment infrastructure aiming bringing quality service people,31,rwa-int-pe-2021-10-26-fi
"how has covid-19 affected the ppp design, contract modalities or pre-tender process?",upset face covid19 disturbed many things including diagnostics ppp put equipments allowed us face covid terms diagnosing decentralized level money flowing fight covid also flowing diagnostics money helping expand capacity lab hope whenever covid fade away equipment used also diagnose diseases,32,rwa-int-pe-2021-10-26-fi
who are key stakeholders in the ppp and why are they involved? ,tiredness attitude ppp means two partners government rwanda health represented byrwanda biomedical centerand ministry health steering committee approves ppp includes ministry finance rwanda development board ministry infrastructure hospitals facilities end users perhaps rssb public insurance company know ppp kind procurement means nothing rwanda public procurement agency perhaps rwanda medical supply medium government procurement,33,rwa-int-pe-2021-10-26-fi
how do they perceive the advantages and disadvantages of the ppp / contract modalities? ,yet done survey know,34,rwa-int-pe-2021-10-26-fi
what are their incentives to participate in the ppp or contract modalities? ,sureness attitude incentives follow steps government choice,35,rwa-int-pe-2021-10-26-fi
how threatening to the success of the ppp or contract modalities is the potential for turnover in key positions among national actors? ,attitude confusion whenever reshuffle position may also reshuffle decision yet consolidated ppp already rolled outthen neutral reshuffle,36,rwa-int-pe-2021-10-26-fi
what is the relative influence of these actors on the design and pre-tender process? ,sureness attitude pre tender process provided law people,37,rwa-int-pe-2021-10-26-fi
whose interests are helped or hurt by laboratory diagnostics happening in the public vs. the private sector? ,attitude shaking head say interests helped hurt interests terms kind capacity diagnostics brought forward know income hospitals come mostly laboratories many hospitals might think private partner taking way interests within government power negotiate way bring partner hospitals survive must thought negotiate contract,38,rwa-int-pe-2021-10-26-fi
who benefits the most from a joint public-private venture in laboratory diagnostics?,seems tired ppp win win,39,rwa-int-pe-2021-10-26-fi
who is potentially threatened by the ppp or contract modalities arrangement and why?,attitude confusion perhaps people business procurement might hurt power procuring longer power anyone hurt good government,40,rwa-int-pe-2021-10-26-fi
how does the structure of the ahdp project itself affect dynamics at the country level? ,boost financial boost help government deal private sector,41,rwa-int-pe-2021-10-26-fi
to what degree is there cross-country learning within the ahdp project? ,attitude smiling hope roll everyone learn better ppp works benefits,42,rwa-int-pe-2021-10-26-fi
how interested are private partners in participating in the ppp or contract modalities? ,attitude happiness ahdp every partner happy partnering government good job bringing standards quality ofcare supported guaranteed financial private people bmgf chai eibto make happen,43,rwa-int-pe-2021-10-26-fi
what are the biggest incentives for private partners to participate in the ppp or contract modalities in country? ,attitude smiling government biggest market ever honor private sector good,44,rwa-int-pe-2021-10-26-fi
what are the biggest drawbacks for private partners to participate in the ppp or contract modalities,attitude assuring drawback government honoring contract means business partner fall,45,rwa-int-pe-2021-10-26-fi
do you think that private partners working in laboratory diagnostics in-country have the capacity to participate and deliver on the ppp or contract modalities? why/why not? ,attitude confusion hope whenever involved cannot choose partner cannot deliver,46,rwa-int-pe-2021-10-26-fi
to what extent in the ppp or contract modalities process have scale-up and sustainability influenced how the ppp / contract modalities is/are carried out? ,attitude happiness outcome ppp see project sustainable talk building operating transfer transfer government rwanda viable project taken consented years evaluate either annually biannually partnership see drawbacks benefits kind project hope ppp aiming bringing government financial viable project sustainable project government learned business diagnostics,47,rwa-int-pe-2021-10-26-fi
which have been the key topics that have been discussed around scale-up and sustainability?,attitude happiness evaluation aim bringing innovations newness whole system,48,rwa-int-pe-2021-10-26-fi
what are the plans in place to support public sector financing of diagnostics in the future? ,attitude convincing government invest investments attract new partners keep partnership,49,rwa-int-pe-2021-10-26-fi
which different sources of funding are expected to be used for financing diagnostics? ,actually sales constructed way sale sustainable,50,rwa-int-pe-2021-10-26-fi
are these financing plans sustainable? why/why not? ,hopefully,51,rwa-int-pe-2021-10-26-fi
is there anything else you would like to discuss about the ppp or contract modalities that we have not talked about? ,far nothing,52,rwa-int-pe-2021-10-26-fi
"please, can you describe your involvement in the public private partnership process under the african health diagnostic platform in rwanda?",thank much much involved ppp betweenmy employer government rwanda one introducedin framework ahdp initiative team initiated two partners led done ahdp answerin relation doneunder ahdp nothing far terms company employer government rwandai demonstrate involvement thank,1,rwa_int_pe_2021_11_29
"who is your employer? okay so you, you are saying that you are not familiar with african health diagnostic platform, or you have heard about it.",employer abbott ive heard read ppp involved ahdp,2,rwa_int_pe_2021_11_29
what was the process of negotiation of the ppp you are talking about?,yeah thank much abbott idea partnering government rwanda improve laboratory services came proposal better services state arts instruments improve diagnostic services rwandan public laboratories proposal received government rwanda cabinet indorsed idea sector ministry ministry health go engagement abbott initiate partnership earlier stage feasibility study per ppp law thats negotiation initiated actually departed proposal abbott government sat together design implementation process initiate feasibility study discussion outlined every partyâ€™s responsibility order implement feasibility study,3,rwa_int_pe_2021_11_29
"if i understood very well so abbott took initiative to propose it to the government of rwanda a model of ppp, yes?",abbott proposed services government abide laws government rwanda ppp law place would govern partnership abbott introduced different mechanism partnering government rwanda rather propose services governed ppp law place rwanda,4,rwa_int_pe_2021_11_29
for the abbott to propose the service to the government of rwanda how did they know what was in the need? on which basis abbott advanced its idea to propose the services?,abbott like pharmaceutical company public health company market research works many countries world services need platforms utilization includes hiv testing services abbott new rwanda definitely need wanted turn need demand apple didnt machines wanted get new market wanted get differently many countries abbott done ppp model ppp supply customer relationship ppp new thing wanted start rwanda actually new market thats come idea allowed conduct baseline assessments come proposal based facts based data place,5,rwa_int_pe_2021_11_29
"thank you very much for this. and we are really interested to know about this experience of abbott, because we can base on it maybe for the future development. ",saying random law clear ppp solicitation government private partner services partnership dont go feasibility proof concepts given weve gone feasibility study sign supplier private company approached fast government rwanda official information available doesnt mean probably didnt talk officials probably talked solicited government,6,rwa_int_pe_2021_11_29
"this is very good, so how abbott come in to negotiate with rwanda to contract with the government? how the negotiations went on? ",yeah thank much understood properly think negotiation means discussing terms render services cost thenactually take two parameters cost services package abbotttry bring meaninnovations would solve many challenges faced rwanda like supply chain example abbottbrought solutions would solve issues expiries stock outs stocks laboratories,7,rwa_int_pe_2021_11_29
"what was the sticking point around these negotiations, was it accepted as proposed? ",yeah like side government rwanda see one accepting higher price point could give maybe one one mention government didnt want spend used spend similar services even though interested course additional services didnt want spend,8,rwa_int_pe_2021_11_29
how did you solve to include the additional services and maintain the price? ,yeah lot done terms price setting course look many parameters may cut operational costs abbott losing reducing price strategies keeping costs price many dimensions areas cut like operational costs anything accepting price abbott found way losing keeping business viable,9,rwa_int_pe_2021_11_29
did the services continue to be offered as proposed initially or changed according to the price?,theres nothing changed actually price reduced,10,rwa_int_pe_2021_11_29
"yeah. thank you very much. so, who was involved in this initial design of the ppp negotiation? ",course two parties abbott government rwanda government rwanda many governmental institutions especially sector ministry ministry health ministry finance somehow related finance economic development rdb charge businesses ppp well also think rpp ministry finance economic planning hospitals managers also represented instruments installed hospitals side government formed forum composed representatives institutions called steering committee per ppp law addition two parties abbott government another partner government rwanda chai kind supporting government rwanda providing technical assistance logistical assistance activities related implementing ppp starting feasibility study take place smoothly three chai government rwanda abbott parties place make sure ppp takes place,11,rwa_int_pe_2021_11_29
that's very good does rssb were involved? ,rssb involved,12,rwa_int_pe_2021_11_29
"as you are familiar with the health system in rwanda, so which hospitals were involved how health sectors represented?",yeah actually start 13 hospitals selected levels referral hospitals provincial hospitals district hospitals actually like geographical representation certain level hospitals different areas country north west south east kigali city represented,13,rwa_int_pe_2021_11_29
who was leading the negotiation on the side of government of rwanda?,steering committee steering committee chaired one government officials reporting course ministry actually one ministry activity involving mean three big institutions ministry finance ministry health rdb put place committee oversee activities steering committee chaired official rbc,14,rwa_int_pe_2021_11_29
"if i understood you well, in technical assistant of chai they conducted the feasibility study, and abbott also conducted feasibility study, so were the two separate feasibility studies or one combined. so, can you expand a little bit more on this? ",abbott conducted actually try data base come proposal one separately joint activity access information know many tests much time take reagents delivered may come solution problems understand better one like baseline able provide offer later engagement signed ministry abbott feasibility study evaluated chai came facilitated coordination evaluation course evaluation joined minister health abbott chai rbc course make sure collect data impact brought new ppp,15,rwa_int_pe_2021_11_29
so how did the actors involved in this design process changed between the initial design and the final agreement so how it went on? ,yeah thank much question raised earlier knowing rssb involved part discussions rssb actually look way services rendered hospitals tie deliver minimum package official guiding list services prices need base level like provincial think district hospitals services done using abbott technologies part minimum package level means way prove efficiency service done like one one challenges made feasibility study really success specialist district hospital specialist cannot request certain lab test certain exam going paid insurance public insurance organization major challenge faced actually recent discussions machines moved issue minimum package tariff public hospitals yet revised make official include tests,16,rwa_int_pe_2021_11_29
did you bring these challenges on the table of negotiation?,yeah brought table discussed ministry something solve immediately takes time doesnt depend one institution takes involve social security rssb manages insurance solution come day two thats one options done move machines sites learn allowed carry tests example referral hospitals didnt face problem kind district think provincial well provincials dont full package services major challenge made us reverse look alternative way,17,rwa_int_pe_2021_11_29
so how did the actors involved in the design process change between the initial design and the final agreement?,actually question assumes final agreement reached yet,18,rwa_int_pe_2021_11_29
"so, it is still under negotiation?",yes agreements done price services rendered abbott form agreement definitive public private partnership,19,rwa_int_pe_2021_11_29
"but the actors who were in the negotiation team are still the same, or they have been changed? ",yeah took longer took long longer planned challengessome people moving course turnover every institution terms institutions representation institution withdrawn removed process individuals moving something happens continuously organization teams changed many people moved away used like chair steering committee longer many changes took place,20,rwa_int_pe_2021_11_29
how did this change affected the process and the progress?,yeah also many big kinds strong factor came place think may lead us believe factors factors couldnt observe effect since theyre ones theyre alone example covid activities stopped people tend believe everything happened happen due covid probably absence people would impact cant account since covid everyone covid wouldnt allow progress big animal see covid seeing people moving affecting progress activities,21,rwa_int_pe_2021_11_29
so how covid-19 affected the process? ,yes especially evaluation evaluation feasibility study,22,rwa_int_pe_2021_11_29
"so, in this interval have there been any champions supporting the ppp?",got separate individuals institutions course champions people presenting respective institutions process theyre ones champion ppp,23,rwa_int_pe_2021_11_29
have there been any actor trying to propose opposite direction from the main actors working in the ppp? ,actors proposing reverse change anything,24,rwa_int_pe_2021_11_29
"so, who or which institution have been ultimately responsible for approving the ppp design? ",actually one institution responsibility done jointly different sectors well rdb minister finance single institution would decide joint activity course phases approving process doesnt depend one institution aligned ministry sector ministry ministry health managing daytoday basis could resolve everything consulting submitting steering committee review rdb ministry finance per ppp law like procurement process single position person decide steps goes different hands ensure review transparency thats cannot say one like main major one one would influence separately,25,rwa_int_pe_2021_11_29
"so, what option were or still being considered when designing the ppp model?",thank much may explain way understand first abbott proposed placement instruments different hospitals placement call reagent agreement plan whereby machine purchased customer placed manufacturer supplier business turn around purchase reagents actually maintenance guaranteed supplier thats still going abbott placed instruments instruments whereby tests done point care may say like chemistry hematology referral machine perform test facility installed tests required emergency immediately decision needs made patient,26,rwa_int_pe_2021_11_29
"thank you very much. does abbott selected the health facilities, which it would want to operate in, or the health facilities were assigned by the government?",one cannot give exact answer agreed upon two parties dont know brought list first abbot wished go b c im sure would come choice may guided ministry came agreement operate 13 facilities,27,rwa_int_pe_2021_11_29
which criteria were based on to select the hospitals you are working in?,yes major criteria lets say geographical hospitals selected satellite labs across near borders see corners country represented another factor im certain may volume two parties find adequate sample prove concept needed adequate amount testimonial demonstrate efficiency viability business,28,rwa_int_pe_2021_11_29
how appropriate do you find the design of this model of abbott to the local context?,doesnt match exactly situation country adapted example bottoms observed things worked things move well example gave prices facilities prices tariff depends minimum package think government work come solution call minimum actually limit minimum least youre supposed maximum need provide service interpretation converted decision allow facilities submit bills extra services easy thing adapt model fine rwanda small bottoms addressedim sure perfect model come without need adapting adjusting yeah doesnt mean adapted rwanda,29,rwa_int_pe_2021_11_29
"can you insist on that, elaborate a little bit more on that?",yeah actually ppp one supplier government pleasant suppliers also interested market one factor business side,30,rwa_int_pe_2021_11_29
"so, thank you so much. what you would recommend as the process to have a buy-in for all stakeholders?",example im one decide propose think abbott contract government rwanda way stated ones supply actually manage labs thats statement cabinet resolution says would mean exclusive suppliers may market anymore still sustain services well good population going served side disruptive competition thats perception course many suppliers may think thats say case wanting rely one supplier maybe government decide combine make sure strong commitment supplier prevent potential interruption services,31,rwa_int_pe_2021_11_29
what would you recommend because you know in rwanda because you are familiar with the local context?,yeah thank much actually think able win buying stakeholders need make sure provide proposal model really meets care example biggest concern accessibility quality diagnostic services thats need bring table solution would solve pricing challenges theyre facing another market problem efficiency financial accessibility need adapt model problems context facing,32,rwa_int_pe_2021_11_29
what would be an ideal ppp design accommodate the needs of priority population?,yeah rwanda example terms geographical accessibility terms population size dont need multiply giant equipmentâ€™s facilities rather need create strengthen hubs see example population kigali thats beyond two 25 million dont need five seven big laboratories big equipmentâ€™s like two three sites specialized testing see remote facilities maybe place like 10 points care make sure least screening done referral done need confirmation rwanda dont need multiply big platform diagnostic platforms facilities except need immediate results clinicians,33,rwa_int_pe_2021_11_29
"current design you are working with in abbott, is different from this ideal design you are talking about if you compare?",yeah actually think make sure levels groups population served ppp model would take account holistic healthcare delivery holistic means community level referral acute sophisticated care means deploying adequate appropriate resources depending level needs population course services bit centralized found specialized facility facilities equipment staff able utilize example community need lets say maternal child health primary healthcare delivered two groups doesnt require sophisticated equipment needs accessible near everyone community level example health post level,34,rwa_int_pe_2021_11_29
"so, what would be necessary to get to the ppp closer to the ideal vision? so compared to your ideal model and what is being done, so what will be required to get closer to that?",yeah compare actually proposal abbott submitted government rwanda didnt consolidate solutions abbott example later ppp actually initiated abbot also brought support construction community mean community facilities called health post health post equipped small kits bundle tests needed community example incorporated package submitted ppp value impact would community general would greater deploying large sophisticated equipment course introduced part ppp discussed,35,rwa_int_pe_2021_11_29
thank you very much. so how has gender or social economic status or poor influenced the design of the ppp?,yeah actually abbott big institution many divisions thats whywhen talk rapid diagnostic separate division talk molecular separate division others diagnostic integration propose something country integration components make comprehensive holistic package covers needs course gap cannot covered one supplier would good wiser government look supplementary partnership doesnt mean partnering government need one supplier better rapid point care molecular example government contract particular package look another one another particular package look one supplier serve everything im sure get best everything yeah letâ€™s say put complete wear clothes dont buy house dont put brand brands shoes better one house suit look another onebut compulsory contract one supplier everything need map needs start tank head make sure every stage contract test area,36,rwa_int_pe_2021_11_29
so how would the ppp design address key consideration to improve access of laboratory diagnostics if ppp is proposed?,apart urban population population rwanda somehow homogenous point cannot say eastern part rwanda probably poor particular diseases need different prescription instrument service technologies services deployed every participating site take account differences assumed theyre major think gender social economy didnt influence much maybe type test part feasibility mean ppp talk maternal child health talking earlier probably taken account social economic lets say talking malaria diagnosis maybe geographical social economic status populations may influence type resources allocate tomay type diseases covered equipmentâ€™s ppp dont make significant difference terms populations different areas,37,rwa_int_pe_2021_11_29
"what about the availability or the quality, efficiency and affordability of laboratory diagnostics in the ppp?",think apart fact allowed wouldnt reimbursed test ensure customers otherwise labs would benefit ppp equally particular challenge regards utilizing instruments following model adopted,38,rwa_int_pe_2021_11_29
thank you very much. so which consideration is the best served by the current design? if you compare what you have said and what is being offered by abbott? ,yeah laboratory diagnostic actually cost price dependent supplied purchased suppliers itâ€™s multifactorial parameter depends operational cost depends inputs resources put place facility level across chain actually terms efficiency think havent reached level start really seeing big impact utilize tests dont see significant impact cost volume increases benefit much efficiency yeah maybe havent reached level mathematically demonstrate operationally didnt reach level test volumes low,39,rwa_int_pe_2021_11_29
"thank you. i was asking about among these consideration you are talking about, so which is currently receiving the least attention in the current design and the why?",example terms harmonization always challenges abbott proposing instrumentsso letâ€™s say hematology one type chemistry itâ€™s one type means youll get rid multiple brands multiple brands actually means multiple types reagents multiple contracts multiple everything harmonization catered actually since inspired challenge faced terms delivery reagents time abbott also solving issue delivering reagents cutting chain shortening chain supply chain long increases cost operational costs reaches facility really expensive also increases time delivery time abbott came approach delivering directly hospitals supply side harmonization actually solutions installed machines help visualize data remotely also solution helps managers oversee taking place facilities,40,rwa_int_pe_2021_11_29
"thank you very much. so, what factors do you think changed the discussion around the ppp?",cant say something given attention every party hasnt come negotiation points stand terms every aspect informally hear people fearing monopoly let explain situation whereby rely one supplier people maybe tend believe one supplier case anything went wrong youll putting population risk one side people tend believe challenge well discussed cannot challenge yeah thats one things,41,rwa_int_pe_2021_11_29
can you elaborate little bit more about how covid 19 affected the ppp design?,hard tell actually factors let say ppp new health sector kind ppp something new anything new always unpredicted events maybe people dont immediately believe said believing new strategy business used operating multiple suppliers probably might affect way people perceive ppp new thing people tend fear reluctant getting maybe never know theyre sure going result,42,rwa_int_pe_2021_11_29
"oh, thank you very much. so, if there is any technical support facilitating and financing for the ppp, how would the availability of this support affect the ppp design?",way affected way covid affected evaluation going evaluation feasibility study outcome pilot phase one continue attention paid covid response people testing people testing meetings would hold discuss outcomes site visits conducted activities delayed thats covid affected,43,rwa_int_pe_2021_11_29
"that is very important. so, what are the features of the ppp design that would not be possible without this technical support?",think things well done start planning phase implementation results success prescribing model rely well thoroughly analyzed context content ppp technical support financial support provided understand context understand model put place terms agreement well started make sure viable cooperation two parties thats intervention much needed benefit quick implementation part analysis understanding content example challenge related test done theyre tariff seen maybe timely decision would made would made challenges resulted one wouldnt faced think support needed heavily start conception phase make sure rest phases running smoothly without challenge,44,rwa_int_pe_2021_11_29
"how would you recommend that technical support being used to address any gap, existing gap, all weaknesses capacity among key stakeholders?",first done engagement implementation placement instruments solutions result parties convinced thing doable profitable fact proposal initial also makes sense every party convincing step following stages theme planning proposal phase well established likely ppp phases engagement implementation going done successfully,45,rwa_int_pe_2021_11_29
"so, the following questions is about, the policy context and the historical relationship that influence over the ppp. so, the question is how supportive is the existing policy legal and the regulatory framework for ppp?",think support addressed government suppliers respond partnership actually theyll come filling cops providing services requested government better government able understand needs government vision knows want take population quality services want achieve 50 years supplier come tell solution problems sometimes mislead oh give dont really need maybe need today years wont serving population way want support allocated governments clearly analysis assessment needs projection kind services need future come requirements service provider come,46,rwa_int_pe_2021_11_29
so how much resistance among policy makers will these ppp need to overcome to garner the necessary support?,yeah case rwanda since rwanda already ppp law place organs enforce policy law actually place active papers something practice means proposal came clear interpretation orientation procedures need followed per law presence law place something law really clear related something related clearly stated uh public private partnership presence law indicates processes procedures follow committees formed process step step proposal sign agreement definitive agreement really guided confusion,47,rwa_int_pe_2021_11_29
how flexible is the ppp to changes in the government or government priorities?,see actually anything new approaches new theyre introduced first time course people certain comfort multiple suppliers multiple options may reluctant opting one certain service resistance cannot overlooked overcome way potential show reasons resistance unanswered questions answered upfront establishing project proposal ppp cause proposal able answer potential questions raised many actors people would need buy idea details processes start end well clearly defined everyone would find answers questions would raising,48,rwa_int_pe_2021_11_29
how flexible the ppp should be in the case of these priorities change?,think depends started view ppp come based needs government example government needs offer certain services population government doesnt means resources operate solely needs partner private organizations case least even dont means provide services alone least know minimum requirement defining problems clearly solutions problems look like know solutions looking easy attract anyone know theyre going stretch youre looking farm want offer population means place yeah think thats emphasis need put,49,rwa_int_pe_2021_11_29
"yeah. so, if tomorrow we need to establish a ppp another kind of ppp so what kind of experience or lessons that you may suggest to pay attention with to have the success?",provided agreement example agreed going certain project together organization later find different facts redirect intervention implementation stipulated agreements course agreement shouldnt written stone ways amending agreements go along implementation stated agreement lets say monitoring mechanism seeing things evolve adapting context situation thats way ppp flexible ppp something already meant agreement going make depending envisioned together two parties agree,50,rwa_int_pe_2021_11_29
what are the similarities or differences between the approach of ahdp and abbott or roche?,thank much actually first thing engaging stakeholders exclude later would see would consulted stakeholder example health sector need finance need healthcare insurance need hospitals us make informed decision need involve start let understand envisage details yeah part really crucial help implementation many resistance,51,rwa_int_pe_2021_11_29
how trusting collaborative is the relationship between the public private sectors for health?,well think ahdp like mechanism facilitating countries acquire agreements like abbott roche read properly like initiative going help developing countries acquire enter agreement terms roche abbott theyre similar terms nature public health organizations actually scope operation terms product lines difference depended heavily performance otherwise equipment technologies many similarities one stronger aspect another one stronger aspect previous version may good tomorrow better version keep um competing everyone something presents advantage,52,rwa_int_pe_2021_11_29
how has historical relationship between the public and the private sector for health influenced the current ppp arrangement?,think apart even health sector rwanda government service providers private operators think lot trust trust level trust really high actually reason fact behind example supply good services government youre quite sure ill paid really something precious rwanda supplier supply request pay upfront doesnt trust youll pay later something really increases trust level trust governmental private organizations second maybe government also trust private organizations way ensure assert trust maintained high,53,rwa_int_pe_2021_11_29
"thank you very much. so, what has been the historic investment and interest from government in laboratory diagnostic? ",example experience procurement entity rwanda worked central medical supply rms procurement apart suppliers used request advanced payment factors lack trust almost suppliers happy sign contract send suppliers wait paid later secondly public institutions eprocurement really demonstrated transparency much clearer based attest level trust based experience suppliers send products feel comfortable really profound,54,rwa_int_pe_2021_11_29
so how does the improvement in the laboratory diagnostics align with the government priorities for the health sector?,yeah first infrastructure laboratory really upgraded past used small room corner even equipment wouldnt place install almost hospitals labs upgraded certain really higher standard level terms infrastructure course government collaboration partners overall coordination prioritization done government terms capacity building also investment government trained many lab scientists really increased diagnostic capacity laboratories terms equipment many equipmentâ€™s procured others placed leasing,55,rwa_int_pe_2021_11_29
what is the profile of health workers relative to diagnostic system including training and cadres?,actually aiming universal healthcare cant talk healthcare without diagnosis actually medical decision laboratory relied provide results guide clinical decisions governments aim ensuring quality healthcare laboratory played really investments terms acquiring equipment training people expanding laboratory buildings building new ones helped laboratories meet increasing demand testing cause increase access means increase number tests increase number tests rooms testers increasing way meet target fact labs increased terms infrastructure equipment personnel helping meeting target ensuring universal health care,56,rwa_int_pe_2021_11_29
